Transect,Biomass_g,MAD_mm,Length_mm,Angle_degree,Abundance,Latitude,Longitude,Management,Aspect,Bathymetry,BPI,BPI_240,Cos_aspect,Dist_shore,Planar_curvature,CCA_cover,Coral_cover,Macroalgae_cover,Soft_cover,Turf_cover,Profile_curvature,Proximity_index,Diversity,Sin_aspect,Slope,Slope_240,Slope_of_slope,Slope_of_slope_240,Wave_power,Site
PUP001,38.82284046,628.600075,182.8770625,13.6399375,32,21.64489,-158.06639,1,1.62524,-5.5841599,0.328731,2.24877,0.0218842,157.7720032,0.177752,0,0,0,0,100,0.0426341,0,0,-0.975315,6.0932002,24.1459999,21.8013,63.2787018,14853.09961,PUP
PUP004,0.128698831,292.1606333,71.65666667,10.81133333,3,21.64273,-158.06592,1,0.76682,-8.2629099,0.206282,0.031663,-0.441602,120.9789963,-2.0836201,0,0,0,34.0073013,65.9690018,0.108896,0,0.392213,-0.891849,4.09235,20.0387001,12.5853996,56.3404999,14051.7998,PUP
PUP005,6.621154796,517.64722,189.8682,17.229,10,21.64514,-158.06548,1,0.558452,-2.28176,0.295461,3.1306901,0.251079,69.1681976,-1.34044,0,0,0,0,86.6187973,0.12788,0,0,-0.962263,3.1436801,22.2688007,9.83043,60.5695,14850.7998,PUP
PUP006,42.07854305,927.3954,885.899,17.002,1,21.64744,-158.0649,1,1.46479,-2.8636701,0.191861,2.3313401,0.737112,59.0447006,-0.694858,0,0,67.3996964,0,28.6777,0.0064558,0.124439,0.33736,-0.602419,3.5151401,24.6709003,12.8827,64.3061981,15294.09961,PUP
PUP007,3.439378616,675.9131636,158.4486364,16.34072727,11,21.64641,-158.06582,1,0.818221,-4.5905499,0.227667,2.12482,0.651926,120.1110001,-0.646282,0,0.0533978,25.2982006,0,70.8087997,0.265389,0.361313,0.477289,-0.746824,4.1001401,24.3216991,14.2177,63.6862984,15186.2002,PUP
PUP011,64.22444943,284.0885313,227.6679688,15.2481875,32,21.64828,-158.06381,1,0.652443,-1.79767,0.222805,2.3254399,0.236621,67.7614975,0.192042,0,0,64.2919006,0.006127,0,0.041108,0.108316,3.75E-04,-0.760125,1.97102,21.3479004,5.35818,59.2411003,15339.09961,PUP
PUP015,47.31636264,563.0465824,236.6247647,18.18217647,17,21.64856,-158.06546,1,1.78465,-5.71416,0.404744,2.0330701,-0.0780293,138.8359985,3.4231,0,1.13297,42.1828003,10.2252998,46.4393005,-0.0348808,0.468164,0.815512,-0.961685,5.4481401,24.7658005,19.8647003,64.3899994,15490.90039,PUP
PUP016,100.4749869,351.7756733,267.0600667,17.5019,30,21.6518,-158.06271,1,0.8032,-2.2909999,0.349815,4.89467,0.253235,57.8188019,-2.00577,0,0,66.453598,0,8.5713596,0.151959,0.116819,0.220624,-0.69229,3.6410999,31.4461002,10.2855997,65.9933014,15663,PUP
PUP017,1.034680205,200.13,144.1818,15.4362,5,21.64402,-158.06612,1,0.862258,-4.6747499,0.132119,2.7978599,-0.107574,89.8548965,-0.715748,0,0,0,0,99.9515991,0.0314844,0,0,-0.967264,3.37941,22.9505997,8.9316702,59.6733017,14534.2002,PUP
PUP019,63.59414701,498.304556,246.03008,16.8974,25,21.65089,-158.06433,1,0.710379,-3.82094,2.5805399,5.64182,0.276198,22.6357994,-0.363561,0,0.860353,40.5965996,0,18.1005001,0.637186,0.453316,0.283027,-0.929573,13.1677999,28.6378002,30.7952995,65.2714996,15667.90039,PUP
