OpCode,Family,Genus,Species,Code,Number,Length_mm,Range_mm,Direction_deg,Depth_m,Mgmt,Site
PUP001,Acanthuridae,Acanthurus,leucopareius,ACLE,1,149.319,8145.259,19.848,7.3152,RES,PUP
PUP001,Acanthuridae,Acanthurus,leucopareius,ACLE,1,166.88,5175.952,9.909,7.3152,RES,PUP
PUP001,Acanthuridae,Acanthurus,olivaceus,ACOL,1,184.427,5343.319,19.32,7.3152,RES,PUP
PUP001,Acanthuridae,Acanthurus,olivaceus,ACOL,1,181.39,5234.194,21.346,7.3152,RES,PUP
PUP001,Acanthuridae,Acanthurus,olivaceus,ACOL,1,184.122,6765.865,18.807,7.3152,RES,PUP
PUP001,Acanthuridae,Acanthurus,olivaceus,ACOL,1,172.848,5140.65,22.542,7.3152,RES,PUP
PUP001,Acanthuridae,Acanthurus,olivaceus,ACOL,1,137.821,7146.337,18.903,7.3152,RES,PUP
PUP001,Acanthuridae,Acanthurus,olivaceus,ACOL,1,151.537,6885.045,18.461,7.3152,RES,PUP
PUP001,Acanthuridae,Acanthurus,leucopareius,ACLE,1,143.445,6975.079,21.57,7.3152,RES,PUP
PUP001,Acanthuridae,Acanthurus,leucopareius,ACLE,1,172.434,6552.806,18.625,7.3152,RES,PUP
PUP001,Acanthuridae,Acanthurus,olivaceus,ACOL,1,175.113,5630.713,16.032,7.3152,RES,PUP
PUP001,Acanthuridae,Acanthurus,triostegus,ACTR,1,141.778,5029.15,17.029,7.3152,RES,PUP
PUP001,Scaridae,Scarus,rubroviolaceus,SCRU,1,552.358,9277.293,14.18,7.3152,RES,PUP
PUP001,Acanthuridae,Acanthurus,triostegus,ACTR,1,145.951,7707.105,17.169,7.3152,RES,PUP
PUP001,Acanthuridae,Acanthurus,leucopareius,ACLE,1,181.512,6232.904,3.13,7.3152,RES,PUP
PUP001,Acanthuridae,Acanthurus,leucopareius,ACLE,1,152.725,5253.263,9.45,7.3152,RES,PUP
PUP001,Acanthuridae,Acanthurus,triostegus,ACTR,1,193.755,5436.854,3.097,7.3152,RES,PUP
